"scientific_name","state","presentation","landings_code","conversion_factor","country","iso3c","iso2c","continent_affiliation","implementation","note","reference","n_CF"
"Alosa sapidissima","Fresh","headed","Fresh, headed",1,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Alosa spp","Fresh","gutted","Fresh, gutted",1.04,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Alosa spp","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Ammodytes spp","Fresh","gutted","Fresh, gutted",1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Ammodytes spp","Fresh","gutted","Fresh, gutted",1,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Ammodytes spp","Fresh","gutted","Fresh, gutted",1.04,"France","FRA","FR","EU","national CF","","EU Council Regulations Annex",2
"Ammodytes spp","Fresh","gutted and headed","Fresh, gutted and headed",1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Ammodytes spp","Fresh","gutted and headed","Fresh, gutted and headed",1,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Ammodytes spp","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Ammodytes spp","Frozen","gutted and headed","Frozen, gutted and headed",1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Ammodytes spp","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Ammodytes spp","Frozen","whole","Frozen, whole",1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Anarhichas lupus","Fresh","filleted","Fresh, filleted",1.6,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.18,"Belgium","BEL","BE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.18,"Ireland","IRL","IE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.18,"Sweden","SWE","SE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.18,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.25,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.25,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted","Fresh, gutted",1.3,"Netherlands","NLD","NL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted and headed","Fresh, gutted and headed",1.52,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","gutted and headed","Fresh, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Fresh","headed","Fresh, headed",1.6,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","filleted","Frozen, filleted",2.98,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted","Frozen, gutted",1.15,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted","Frozen, gutted",1.18,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted","Frozen, gutted",1.3,"Netherlands","NLD","NL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted and headed","Frozen, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted and headed","Frozen, gutted and headed",1.69,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.75,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas lupus","Frozen","gutted, tail off","Frozen, gutted, tail off",1.25,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas minor","Fresh","gutted","Fresh, gutted",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas minor","Fresh","gutted and headed","Fresh, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas minor","Frozen","gutted and headed","Frozen, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","filleted","Fresh, filleted",1.6,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","filleted, skinned","Fresh, filleted, skinned",2.7,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","filleted, skinned","Fresh, filleted, skinned",3.97,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.15,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.18,"Belgium","BEL","BE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.18,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.18,"Sweden","SWE","SE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.18,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.2,"Canada","CAN","CA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.2,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted","Fresh, gutted",1.3,"Netherlands","NLD","NL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted and headed","Fresh, gutted and headed",1.52,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted and headed","Fresh, gutted and headed",1.69,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","gutted and headed","Fresh, gutted and headed",1.81,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Fresh","headed","Fresh, headed",1.6,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","filleted","Frozen, filleted",2.27,"Bulgaria","BGR","BG","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","filleted","Frozen, filleted",2.98,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","filleted","Frozen, filleted",3.48,"Greenland","GRL","GL","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","gutted","Frozen, gutted",1.2,"Greenland","GRL","GL","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","gutted and headed","Frozen, gutted and headed",1.6,"Greenland","GRL","GL","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","gutted and headed","Frozen, gutted and headed",1.6,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anarhichas spp","Frozen","gutted and headed","Frozen, gutted and headed",1.63,"Bulgaria","BGR","BG","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","filleted, skinned","Fresh, filleted, skinned",2.7,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","gutted","Fresh, gutted",1.04,"Netherlands","NLD","NL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","gutted","Fresh, gutted",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","gutted","Fresh, gutted",1.13,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Fresh","gutted and headed","Fresh, gutted and headed",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla anguilla","Frozen","gutted and headed","Frozen, gutted and headed",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anguilla rostrata","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anoplopoma fimbria","Fresh","gutted and headed","Fresh, gutted and headed",1.4,"Canada","CAN","CA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anoplopoma fimbria","Frozen","filleted, skinned","Frozen, filleted, skinned",2.94,"USA","USA","US","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anoplopoma fimbria","Frozen","gutted","Frozen, gutted",1.12,"USA","USA","US","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Anoplopoma fimbria","Frozen","gutted and headed","Frozen, gutted and headed",1.39,"USA","USA","US","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Antimora rostrata","Fresh","headed","Fresh, headed",1,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aphanopus carbo","Fresh","gutted","Fresh, gutted",1.04,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aphanopus carbo","Fresh","gutted","Fresh, gutted",1.24,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Fresh","gutted and headed","Fresh, gutted and headed",1.395,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Fresh","gutted and headed","Fresh, gutted and headed",1.45,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Fresh","gutted and headed","Fresh, gutted and headed",1.56,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aphanopus carbo","Fresh","headed","Fresh, headed",1.4,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted","Frozen, gutted",1.1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted","Frozen, gutted",1.48,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted","Frozen, gutted",1.48,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted and headed","Frozen, gutted and headed",1.25,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted and headed","Frozen, gutted and headed",1.395,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"Estonia","EST","EE","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"Lithuania","LTU","LT","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","headed","Frozen, headed",1.395,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","whole","Frozen, whole",1,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Aphanopus carbo","Frozen","whole","Frozen, whole",1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Fresh","gutted and headed","Fresh, gutted and headed",1.18,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Argentina silus","Frozen","gutted and headed","Frozen, gutted and headed",1.18,"Germany","DEU","DE","EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Frozen","gutted and headed","Frozen, gutted and headed",1.18,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Argentina silus","Frozen","whole","Frozen, whole",1,"Germany","DEU","DE","EU","national CF","","EU Council Regulations Annex",1
"Argentina silus","Frozen","whole","Frozen, whole",1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Argentina spp","Fresh","gutted","Fresh, gutted",1.04,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argentina spp","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argentina spp","Fresh","gutted and headed","Fresh, gutted and headed",1.18,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argentina spp","Frozen","filleted, skinned","Frozen, filleted, skinned",2.6,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argentina spp","Frozen","gutted and headed","Frozen, gutted and headed",1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argentina spp","Frozen","gutted and headed","Frozen, gutted and headed",1.18,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus holoiepidotus","Fresh","gutted and headed","Fresh, gutted and headed",1.4,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus holoiepidotus","Fresh","gutted, gilled","Fresh, gutted, gilled",1.15,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus holoiepidotus","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus holoiepidotus","Frozen","gutted, gilled","Frozen, gutted, gilled",1.15,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus regius","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus regius","Frozen","filleted","Frozen, filleted",2.2,"Morocco","MAR","MA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrosomus regius","Frozen","gutted and headed","Frozen, gutted and headed",1.3,"Morocco","MAR","MA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrozona argyrozona","Fresh","gutted","Fresh, gutted",1.06,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Argyrozona argyrozona","Frozen","gutted","Frozen, gutted",1.06,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aridae","Fresh","gutted","Fresh, gutted",1.1,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aridae","Fresh","gutted","Fresh, gutted",1.2,"Trinidad And Tobago","TTO","TT","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aridae","Fresh","gutted and headed","Fresh, gutted and headed",1.25,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aridae","Frozen","filleted, skinned","Frozen, filleted, skinned",2,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Aristeus antennatus","Fresh","gutted","Fresh, gutted",1.37,"Italy","ITA","IT","EU","national CF","1.040-1.700","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Atherinidae","Frozen","gutted and headed","Frozen, gutted and headed",1.6,"Italy","ITA","IT","EU","national CF","1.500-1.700","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Atherinidae","Frozen","headed","Frozen, headed",1.35,"Italy","ITA","IT","EU","national CF","1.300-1.400","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Austroglossus microlepis","Fresh","gutted","Fresh, gutted",1.04,"Namibia","NAM","NA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Austroglossus microlepis","Fresh","gutted","Fresh, gutted",1.06,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Austroglossus microlepis","Frozen","gutted","Frozen, gutted",1.06,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Austroglossus pectoralis","Fresh","gutted","Fresh, gutted",1.04,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Austroglossus pectoralis","Frozen","gutted","Frozen, gutted",1.04,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Auxis thazard","Fresh","headed","Fresh, headed",1.25,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
