species,fishreg,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
ABZ,0,TLW,EE	0.025 	0.05 	0.032 	0.145 	0.325 	0.037 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,ES	: 	0.54 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,EU27_2020	: 	585.957 	377.723 	0.358 	0.519 	0.037 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,EU28	: 	585.957 	377.723 	0.358 	0.519 	0.037 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,MT	0.068 	0.031 	0.05 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,NL	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,0,TLW,PL	: 	585.336 	377.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,EE	0.025 	0.05 	0.032 	0.145 	0.325 	0.037 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,ES	: 	0.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,EU27_2020	: 	585.896 	377.557 	0.145 	0.325 	0.037 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,EU28	: 	585.896 	377.557 	0.145 	0.325 	0.037 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,NL	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,27,TLW,PL	: 	585.336 	377.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,ES	: 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,EU27_2020	: 	0.061 	0.166 	0.213 	0.194 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,EU28	: 	0.061 	0.166 	0.213 	0.194 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,MT	0.068 	0.031 	0.05 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,0,TLW,EE	55.775 	48.729 	42.907 	37.361 	24.167 	35.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,0,TLW,EU27_2020	: 	54.9901 	43.077 	37.4908 	24.355 	35.4497 	0.328 	1.271 	0.5 	1.2 	1.1 	1.3 	2 	1.8 	1 	2 	0 	31 	0 	0 
ACC,0,TLW,EU28	: 	54.9901 	43.077 	37.491 	24.355 	35.45 	0.328 	1.271 	0.5 	1.2 	1.1 	1.3 	2 	1.8 	1 	2 	0 	31 	0 	0 
ACC,0,TLW,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	31 	0 	0 
ACC,0,TLW,LV	0.02 	0.02 	0.17 	0.13 	0.05 	0.15 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,0,TLW,PL	: 	6.002 	: 	: 	0.108 	: 	0.278 	1.231 	0.4 	1.1 	0.8 	1.3 	2 	1.8 	1 	2 	: 	: 	: 	: 
ACC,0,TLW,SE	3.778 	0.239 	: 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,27,TLW,EE	55.775 	48.729 	42.907 	37.361 	24.167 	35.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,27,TLW,EU27_2020	: 	54.9901 	43.077 	37.4908 	24.355 	35.4497 	0.328 	1.271 	0.5 	1.2 	1.1 	1.3 	2 	1.8 	1 	2 	0 	31 	0 	0 
ACC,27,TLW,EU28	: 	54.9901 	43.077 	37.491 	24.355 	35.45 	0.328 	1.271 	0.5 	1.2 	1.1 	1.3 	2 	1.8 	1 	2 	0 	31 	0 	0 
ACC,27,TLW,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	31 	0 	0 
ACC,27,TLW,LV	0.02 	0.02 	0.17 	0.13 	0.05 	0.15 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACC,27,TLW,PL	: 	6.002 	: 	: 	0.108 	: 	0.278 	1.231 	0.4 	1.1 	0.8 	1.3 	2 	1.8 	1 	2 	: 	: 	: 	: 
ACC,27,TLW,SE	3.778 	0.239 	: 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACH,0,TLW,EE	0.002 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACH,0,TLW,NO	: 	: 	: 	: 	: 	: 	: 	: 	0.37 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0.02 
ACH,0,TLW,SE	0.001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACH,27,TLW,EE	0.002 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ACH,27,TLW,NO	: 	: 	: 	: 	: 	: 	: 	: 	0.37 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0.02 
ACH,27,TLW,SE	0.001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,DE	: 	0 n	0.11 p	0.191 	2.529 	10.745 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,ES	: 	1.09 	: 	: 	0 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,EU27_2020	: 	1.1467 	1.3281 p	0.891 	5.729 	18.995 	2 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,EU28	: 	1.1467 	1.328 p	0.891 	5.729 	18.995 	2 	: 	857.598 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	82.01 
AES,0,TLW,IT	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,NL	: 	: 	0.39 	0.7 	3.2 	8.2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,SE	0.6913 	0.057 	0.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,0,TLW,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	82.01 
AES,21,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21,TLW,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,21,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	: 	857.598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,DE	: 	0 n	0.11 p	0.191 	2.529 	10.745 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,ES	: 	1.09 	: 	: 	0 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,EU27_2020	: 	1.1467 	1.3281 p	0.891 	5.729 	18.995 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,EU28	: 	1.1467 	1.328 p	0.891 	5.729 	18.995 	2 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	82.01 
AES,27,TLW,NL	: 	: 	0.39 	0.7 	3.2 	8.2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,SE	0.6913 	0.057 	0.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,27,TLW,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	82.01 
AES,37,TLW,IT	0.1 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,0,TLW,DK	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,0,TLW,EU27_2020	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,0,TLW,EU28	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,27,TLW,DK	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,27,TLW,EU27_2020	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AFT,27,TLW,EU28	: 	: 	: 	: 	2.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,0,TLW,ES	: 	1.57 	0.84 	0.82 	1.31 	1.38 	0.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,0,TLW,EU27_2020	: 	1.57 	0.84 	0.82 	1.31 	1.38 	0.82 	0.006 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,0,TLW,EU28	: 	1.57 	0.84 	0.82 	1.31 	1.38 	0.82 	0.006 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,0,TLW,PT	0.05 	: 	: 	: 	: 	: 	: 	0.006 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,27,TLW,EU27_2020	: 	: 	: 	: 	: 	: 	: 	0.006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,27,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	0.006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,27,TLW,PT	: 	: 	: 	: 	: 	: 	: 	0.006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,34,TLW,ES	: 	1.57 	0.82 	0.81 	1.28 	1.38 	0.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,34,TLW,EU27_2020	: 	1.57 	0.82 	0.81 	1.28 	1.38 	0.78 	: 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,34,TLW,EU28	: 	1.57 	0.82 	0.81 	1.28 	1.38 	0.78 	: 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,34,TLW,PT	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	0.01 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,ES	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,EU27_2020	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGD,37,TLW,EU28	: 	: 	0.02 	0.01 	0.03 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,0,TLW,ES	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,0,TLW,EU27_2020	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,0,TLW,EU28	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,34,TLW,ES	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,34,TLW,EU27_2020	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGI,34,TLW,EU28	: 	9.26 	4.13 	4.75 	13.68 	7.55 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,0,TLW,ES	: 	8.03 	5.52 	6.63 	8.4 	8.6 	9.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,0,TLW,EU27_2020	: 	10.86 p	15.99 	23.38 	34.74 	11.44 	12.2061 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,0,TLW,EU28	: 	10.86 p	15.99 	23.38 	34.74 	11.44 	12.2061 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,0,TLW,IT	0.2 p	0.1 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,0,TLW,PT	0.04 	2.73 	1.27 	5.35 	4.04 	2.84 	2.7861 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,27,TLW,EU27_2020	: 	2.73 	1.27 	5.35 	4 	2.84 	2.7861 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,27,TLW,EU28	: 	2.73 	1.27 	5.35 	4 	2.84 	2.7861 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,27,TLW,PT	: 	2.73 	1.27 	5.35 	4 	2.84 	2.7861 	3.3015 	2.579 	3 	2 	3 	3 	4.9 	36 	71 	70 	45 	: 	: 
AGK,34,TLW,ES	: 	8.02 	5.52 	6.63 	8.4 	8.6 	9.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,34,TLW,EU27_2020	: 	8.02 	5.52 	6.63 	8.44 	8.6 	9.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,34,TLW,EU28	: 	8.02 	5.52 	6.63 	8.44 	8.6 	9.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,34,TLW,PT	0.04 	: 	: 	: 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,ES	: 	0.01 	: 	: 	0 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,EU27_2020	: 	0.11 p	9.2 	11.4 	22.3 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,EU28	: 	0.11 p	9.2 	11.4 	22.3 	: 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGK,37,TLW,IT	0.2 p	0.1 p	9.2 	11.4 	22.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,0,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	0 	0 
AGN,0,TLW,ES	: 	0.24 	: 	0.86 	1.91 	0.3 	4.28 	62.61 	10.72 	9.91 	1.92 	2.03 	1.6 	0.4 	0.4 	0.1 	: 	: 	: 	: 
AGN,0,TLW,EU27_2020	: 	0.434 p	0.068 	1.087 	2.521 	0.615 	4.56 	64.25 	11.74 	11.61 	3.52 	2.14 	2.23 	0.7 	2.4 	0.11 	0.01 	3 	0.01 	1.01 
AGN,0,TLW,EU28	: 	0.4576 p	0.203 	1.087 	2.521 	0.615 	4.56 	64.25 	11.74 	11.61 	3.52 	2.14 	2.25 	0.71 	2.4 	0.11 	0.01 	3 	0.01 	1.02 
AGN,0,TLW,FR	: 	0.194 p	0.049 	0.188 	0.58 	0.3 	0.28 	1.64 	1.02 	1.7 	1.6 	0.01 	0.63 	0.3 	2 	0.01 	0.01 	0 	0.01 	1.01 
AGN,0,TLW,MT	: 	: 	0.02 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,0,TLW,UK	: 	0.024 	0.135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.02 	0.01 	0 	0 	0 	0 	0 	0.01 
AGN,27,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	0 	0 
AGN,27,TLW,ES	: 	0.24 	: 	0.86 	1.91 	0.3 	4.26 	62.54 	10.36 	9.3 	0.01 	0.02 	0.8 	0.1 	: 	: 	: 	: 	: 	: 
AGN,27,TLW,EU27_2020	: 	0.24 	: 	0.86 	2.44 	0.31 	4.28 	64.04 	11.33 	11 	1.61 	0.03 	1.43 	0.4 	2 	0.01 	0.01 	3 	0.01 	1.01 
AGN,27,TLW,EU28	: 	0.2636 	0.135 	0.86 	2.44 	0.31 	4.28 	64.04 	11.33 	11 	1.61 	0.03 	1.45 	0.41 	2 	0.01 	0.01 	3 	0.01 	1.02 
AGN,27,TLW,FR	: 	: 	: 	: 	0.53 	0.01 	0.02 	1.5 	0.97 	1.7 	1.6 	0.01 	0.63 	0.3 	2 	0.01 	0.01 	0 	0.01 	1.01 
AGN,27,TLW,UK	: 	0.024 	0.135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.02 	0.01 	0 	0 	0 	0 	0 	0.01 
AGN,34,TLW,ES	: 	: 	: 	: 	: 	: 	: 	: 	0.19 	0.51 	1.9 	2 	0.8 	0.3 	0.4 	0.1 	: 	: 	: 	: 
AGN,34,TLW,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	0.19 	0.51 	1.9 	2 	0.8 	0.3 	0.4 	0.1 	: 	: 	: 	: 
AGN,34,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	: 	0.19 	0.51 	1.9 	2 	0.8 	0.3 	0.4 	0.1 	: 	: 	: 	: 
AGN,37,TLW,ES	: 	: 	: 	: 	: 	: 	0.02 	0.07 	0.17 	0.1 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,EU27_2020	: 	0.194 p	0.068 	0.227 	0.081 	0.305 	0.28 	0.21 	0.22 	0.1 	0.01 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,EU28	: 	0.194 p	0.068 	0.227 	0.081 	0.305 	0.28 	0.21 	0.22 	0.1 	0.01 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,FR	: 	0.194 p	0.049 	0.188 	0.05 	0.29 	0.26 	0.14 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,37,TLW,MT	: 	: 	0.02 	0.039 	0.031 	0.015 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,ES	: 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,EU27_2020	: 	5.9103 	5.9463 	8.1714 	5.2008 	6.3554 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,EU28	: 	5.9103 	5.946 	8.171 	5.2008 	6.355 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,HR	2.8926 	5.2 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,IT	0 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,0,TLW,SI	0 	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37,TLW,ES	: 	0.71 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
